TeamID,team
1195,Florida Gulf Coast
1236,Purdue Fort Wayne
1237,IU Indy
1292,Middle Tennessee
1394,Texas A&M Corpus Chris
1410,UT Rio Grande Valley
1419,Louisiana Monroe
1443,Western Kentucky
1382,St. Francis NY
1366,Savannah St.
